"","doc_id","word","candidate"
"573","2024-11-01","Donald","Donald Trump"
"574","2024-11-01","win","Donald Trump"
"575","2024-11-01","win","Donald Trump"
"576","2024-11-01","era","Donald Trump"
"577","2024-11-01","attempt","Donald Trump"
"578","2024-11-01","win","Donald Trump"
"579","2024-11-01","year","Donald Trump"
"580","2024-11-01","go","Donald Trump"
"581","2024-11-01","Donald","Donald Trump"
"582","2024-11-01","Donald","Donald Trump"
"583","2024-11-01","Administration","Donald Trump"
"584","2024-11-01","Donald","Donald Trump"
"585","2024-10-31","Donald","Donald Trump"
"586","2024-10-31","presidency","Donald Trump"
"587","2024-10-31","tariff","Donald Trump"
"588","2024-10-31","insist","Donald Trump"
"589","2024-10-31","win","Donald Trump"
"590","2024-10-31","Administration","Donald Trump"
"591","2024-10-31","musk","Donald Trump"
"592","2024-10-31","Administration","Donald Trump"
"593","2024-10-31","Donald","Donald Trump"
"594","2024-10-31","bore","Donald Trump"
"595","2024-10-31","more","Donald Trump"
"596","2024-10-31","Donald","Donald Trump"
"597","2024-10-31","win","Donald Trump"
"598","2024-10-31","danger","Donald Trump"
"599","2024-10-31","sinister","Donald Trump"
"600","2024-10-31","debate","Donald Trump"
"601","2024-10-31","victory","Donald Trump"
"602","2024-10-31","supporter","Donald Trump"
"603","2024-10-31","Donald","Donald Trump"
"604","2024-10-31","Donald","Donald Trump"
"605","2024-10-31","Donald","Donald Trump"
"606","2024-10-31","rally","Donald Trump"
"607","2024-10-31","Donald","Donald Trump"
"608","2024-10-31","Donald","Donald Trump"
"609","2024-10-31","victory","Donald Trump"
"610","2024-10-31","v.","Donald Trump"
"611","2024-10-31","Mr.","Donald Trump"
"612","2024-10-31","Mr.","Donald Trump"
"613","2024-10-31","Mr.","Donald Trump"
"614","2024-10-31","Mr.","Donald Trump"
"615","2024-10-30","Donald","Donald Trump"
"616","2024-10-30","reading","Donald Trump"
"617","2024-10-30","Mr.","Donald Trump"
"618","2024-10-30","Mr.","Donald Trump"
"619","2024-10-30","Mr.","Donald Trump"
"620","2024-10-30","Mr.","Donald Trump"
"621","2024-10-30","Mr.","Donald Trump"
"622","2024-10-30","Donald","Donald Trump"
"623","2024-10-30","voting","Donald Trump"
"624","2024-10-30","elect","Donald Trump"
"625","2024-10-30","uninterested","Donald Trump"
"626","2024-10-30","urge","Donald Trump"
"627","2024-10-30","Donald","Donald Trump"
"628","2024-10-30","brain","Donald Trump"
"629","2024-10-30","campaign","Donald Trump"
"630","2024-10-30","pitch","Donald Trump"
"631","2024-10-30","Donald","Donald Trump"
"632","2024-10-30","President","Donald Trump"
"633","2024-10-30","Donald","Donald Trump"
"634","2024-10-30","gap","Donald Trump"
"635","2024-10-30","win","Donald Trump"
"636","2024-10-30","defeat","Donald Trump"
"637","2024-10-30","people","Donald Trump"
"638","2024-10-30","loss","Donald Trump"
"639","2024-10-30","tell","Donald Trump"
"640","2024-10-30","Donald","Donald Trump"
"641","2024-10-30","realign","Donald Trump"
"642","2024-10-30","Mr.","Donald Trump"
"643","2024-10-30","Mr.","Donald Trump"
"644","2024-10-30","Donald","Donald Trump"
"645","2024-10-29","Donald","Donald Trump"
"646","2024-10-29","priority","Donald Trump"
"647","2024-10-29","seem","Donald Trump"
"648","2024-10-29","describ","Donald Trump"
"649","2024-10-29","Donald","Donald Trump"
"650","2024-10-29","worse","Donald Trump"
"651","2024-10-29","do","Donald Trump"
"652","2024-10-29","brotch","Donald Trump"
"653","2024-10-29","seek","Donald Trump"
"654","2024-10-29","opinion","Donald Trump"
"655","2024-10-29","ads","Donald Trump"
